"Name","Sweep","best_eval_top1","Runtime","State","Created","unc-module","best_test_avg_downstream_auroc_correct","best_test_avg_downstream_r1","best_test_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_auroc_correct","best_eval_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_r1","eval_avg_downstream_auroc_correct","eval_avg_downstream_croppedHasBiggerUnc","eval_avg_downstream_r1","best_furthertest_avg_downstream_auroc_correct","best_furthertest_avg_downstream_croppedHasBiggerUnc","best_furthertest_avg_downstream_r1","best_furthertest_avg_downstream_rcorr_entropy","furthertest_avg_downstream_auroc_correct","furthertest_avg_downstream_croppedHasBiggerUnc","furthertest_avg_downstream_r1","furthertest_avg_downstream_rcorr_entropy","best_eval_croppedHasBiggerUnc","best_eval_auroc_correct","model","lr","loss","num-heads","best_eval_r1"
"firm-sweep-5","var4i74r","72.868","128855","finished","2023-06-22T15:40:01.000Z","jsd","0.5027","0.5068333333333334","0.2806","0.5058333333333334","0.2838","0.5021333333333334","0.5001666666666666","0.3043666666666667","0.5028","0.49704","0.27521999999999996","0.70806","0.00872","","","","","0.3125","0.4844","vit_medium_patch16_gap_256dropout","0.004374627195332089","cross-entropy","","0.6814"
"icy-sweep-3","var4i74r","79.526","137244","finished","2023-06-22T15:40:00.000Z","class-entropy","0.5255","0.5541666666666667","0.6539333333333334","0.5198666666666666","0.6738","0.5366","0.511","0.6346666666666666","0.5230333333333334","0.52436","0.69844","0.7240399999999999","0.04328","","","","","0.7091","0.7604","vit_medium_patch16_gap_256dropout","0.0010696361318608578","cross-entropy","","0.7678"
"deft-sweep-1","var4i74r","66.902","159167","finished","2023-06-22T15:39:57.000Z","class-entropy","0.5234","0.4852","0.7126","0.5419333333333334","0.7241333333333332","0.4713333333333333","0.5095000000000001","0.6556","0.5204333333333334","0.5221199999999999","0.7404200000000001","0.69102","0.02728","","","","","0.7217","0.79","vit_medium_patch16_gap_256dropout","0.007801785043803659","cross-entropy","","0.6101"
"summer-sweep-2","var4i74r","78.458","132723","finished","2023-06-22T15:39:57.000Z","class-entropy","0.5179333333333332","0.5429666666666667","0.6486999999999999","0.5280999999999999","0.6732","0.5262000000000001","0.5073666666666666","0.6393666666666666","0.5217333333333333","0.5213800000000001","0.66486","0.71524","0.01954","","","","","0.7258","0.7641","vit_medium_patch16_gap_256dropout","0.00118029412107843","cross-entropy","","0.7559"
"smooth-sweep-5","zydxq6e0","78.372","177659","finished","2023-06-22T15:37:54.000Z","jsd","0.4993333333333334","0.4567000000000001","0.6737333333333334","0.5435333333333333","0.6913666666666667","0.45343333333333335","0.5435333333333333","0.6913666666666667","0.45343333333333335","0.5008999999999999","0.60328","0.6760999999999999","0.02206","","","","","0.6886","0.7741","resnet50","0.005582247636355815","cross-entropy","10","0.7104"
"fresh-sweep-4","zydxq6e0","60.756","35013","failed","2023-06-22T15:37:04.000Z","jsd","0.4906333333333333","0.3258666666666667","0.5402","0.5318999999999999","0.5286333333333334","0.3505666666666667","0.5118","0.4699333333333333","0.3742666666666667","0.47894","0.2391","0.58614","-0.05267999999999999","","","","","0.4574","0.671","resnet50","0.020134135458105787","cross-entropy","10","0.5579"
"hardy-sweep-3","zydxq6e0","63.058","56521","failed","2023-06-22T15:36:54.000Z","jsd","0.5061666666666667","0.3363333333333333","0.5218333333333334","0.5317999999999999","0.5359333333333333","0.35790000000000005","0.5142333333333333","0.4828666666666666","0.4056333333333333","0.49066","0.29714","0.61532","-0.05654","","","","","0.5032","0.6767","resnet50","0.012134305211179206","cross-entropy","10","0.5828"
"avid-sweep-5","dwm85pkc","56.35","45773","failed","2023-06-22T15:36:31.000Z","class-entropy","0.5232666666666667","0.4337333333333333","0.6822666666666667","0.5249666666666667","0.6786","0.4462","0.5189666666666667","0.6960000000000001","0.42440000000000005","0.5227600000000001","0.76396","0.6747200000000001","0.04578","","","","","0.7071","0.7448","vit_medium_patch16_gap_256","0.010909230558715916","cross-entropy","10","0.5061"
"icy-sweep-3","dwm85pkc","0.54","108502","finished","2023-06-22T15:36:30.000Z","class-entropy","0.5785666666666667","0.055766666666666666","0.4051","0.5694666666666667","0.38776666666666665","0.06013333333333334","0.4406666666666667","0.38866666666666666","0.10236666666666666","0.52616","0.4255000000000001","0.40058","0.0344","","","","","0.3932","0.5943","vit_medium_patch16_gap_256","0.007815922602239579","cross-entropy","10","0.0105"
"sweepy-sweep-4","dwm85pkc","70.226","20820","failed","2023-06-22T15:36:30.000Z","jsd","0.5243333333333333","0.4589666666666667","0.28536666666666666","0.5366","0.2913","0.45103333333333334","0.5168","0.23376666666666668","0.3438666666666667","0.49218","0.31779999999999997","0.6773","-0.009159999999999998","","","","","0.3762","0.6018","vit_medium_patch16_gap_256","0.01989100245263104","cross-entropy","10","0.6891"
